Zone,State,City,Area,First Name,Last Name,Category,Email ID,Roll Number,Contact,Date of Birth,GENDER,Student State,Student City,TARGET YEAR,Father /Mother /Guardian's name,PARENT MOBILE,Parent Email ID,SPECIFY RELATIONSHIP,Password Option,Password,Locale,School,Board,Grade,Section,Subject,Error
South,Karnataka,Bangalore,Bellandur,Demo,FatKatC5,,FatKatC5@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatC6,,FatKatC6@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatC7,,FatKatC7@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatC8,,FatKatC8@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatC9,,FatKatC9@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatCA0,,FatKatCA0@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatCA1,,FatKatCA1@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatCA2,,FatKatCA2@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatCA3,,FatKatCA3@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatCA4,,FatKatCA4@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatCb3,,FatKatCb3@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatCb4,,FatKatCb4@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatCb5,,FatKatCb5@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatCb6,,FatKatCb6@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatCb7,,FatKatCb7@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatCb8,,FatKatCb8@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatCb9,,FatKatCb9@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatCbc0,,FatKatCbc0@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatCbc1,,FatKatCbc1@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatCbc2,,FatKatCbc2@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatCbc3,,FatKatCbc3@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatCbc4,,FatKatCbc4@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatD3,,FatKatD3@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatD4,,FatKatD4@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatD5,,FatKatD5@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatD6,,FatKatD6@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatD7,,FatKatD7@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatD8,,FatKatD8@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatD9,,FatKatD9@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatDA0,,FatKatDA0@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatDA1,,FatKatDA1@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatDA2,,FatKatDA2@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatDA3,,FatKatDA3@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatDA4,,FatKatDA4@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatDb3,,FatKatDb3@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatDb4,,FatKatDb4@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatDb5,,FatKatDb5@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatDb6,,FatKatDb6@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatDb7,,FatKatDb7@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatDb8,,FatKatDb8@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatDb9,,FatKatDb9@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatDbc0,,FatKatDbc0@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatDbc1,,FatKatDbc1@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatDbc2,,FatKatDbc2@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,6th Karnataka State Board,A,Mathematics,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatDbc3,,FatKatDbc3@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Mathematics,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,7th Karnataka State Board,A,Science,
South,Karnataka,Bangalore,Bellandur,Demo,FatKatDbc4,,FatKatDbc4@embibe.com,,,,,,,2023,,,,,manual,Embibe@1234,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Science,Student is not created due to errors in other students
,,,,,,,,,,,,,,,,,,,,,en,Dummy school,Karnataka Board,8th Karnataka State Board,A,Mathematics,
